name	sex	period_class	reriods	reriode	EAR	RDA	AI	UL	unit	DG_min	DG_max	DG_unit
protein	m	m	0	5	-	-	10	-	g/day	-	-	%E
protein	m	m	6	8	-	-	15	-	g/day	-	-	%E
protein	m	m	9	11	-	-	25	-	g/day	-	-	%E
protein	m	y	1	2	15	20	-	-	g/day	13	20	%E
protein	m	y	3	5	20	25	-	-	g/day	13	20	%E
protein	m	y	6	7	25	30	-	-	g/day	13	20	%E
protein	m	y	8	9	30	40	-	-	g/day	13	20	%E
protein	m	y	10	11	40	45	-	-	g/day	13	20	%E
protein	m	y	12	14	50	60	-	-	g/day	13	20	%E
protein	m	y	15	17	50	65	-	-	g/day	13	20	%E
protein	m	y	18	29	50	65	-	-	g/day	13	20	%E
protein	m	y	30	49	50	65	-	-	g/day	13	20	%E
protein	m	y	50	64	50	65	-	-	g/day	14	20	%E
protein	m	y	65	74	50	60	-	-	g/day	15	20	%E
protein	m	y	75	-	50	60	-	-	g/day	15	20	%E
protein	f	m	0	5	-	-	10	-	g/day	-	-	%E
protein	f	m	6	8	-	-	15	-	g/day	-	-	%E
protein	f	m	9	11	-	-	25	-	g/day	-	-	%E
protein	f	y	1	2	15	20	-		g/day	13	20	%E
protein	f	y	3	5	20	25	-		g/day	13	20	%E
protein	f	y	6	7	25	30	-		g/day	13	20	%E
protein	f	y	8	9	30	40	-		g/day	13	20	%E
protein	f	y	10	11	40	50	-		g/day	13	20	%E
protein	f	y	12	14	45	55	-		g/day	13	20	%E
protein	f	y	15	17	45	55	-		g/day	13	20	%E
protein	f	y	18	29	40	50	-		g/day	13	20	%E
protein	f	y	30	49	40	50	-		g/day	13	20	%E
protein	f	y	50	64	40	50	-		g/day	14	20	%E
protein	f	y	65	74	40	50	-		g/day	15	20	%E
protein	f	y	75	-	40	50	-		g/day	15	20	%E
protein	f	p	0	15	-	-	-	-	g/day	13	20	%E
protein	f	p	16	27	+5	+5	-	-	g/day	13	20	%E
protein	f	p	38	-	+25	+25	-	-	g/day	13	20	%E
protein	f	l	-	-	+15	+20			g/day	15	20	%E
fat	m	m	0	5	-	-	50	-	g/day	-	-	%E
fat	m	m	6	11	-	-	40	-	g/day	-	-	%E
fat	m	y	1	2	-	-	-	-	g/day	20	30	%E
fat	m	y	3	5	-	-	-	-	g/day	20	30	%E
fat	m	y	6	7	-	-	-	-	g/day	20	30	%E
fat	m	y	8	9	-	-	-	-	g/day	20	30	%E
fat	m	y	10	11	-	-	-	-	g/day	20	30	%E
fat	m	y	12	14	-	-	-	-	g/day	20	30	%E
fat	m	y	15	17	-	-	-	-	g/day	20	30	%E
fat	m	y	18	29	-	-	-	-	g/day	20	30	%E
fat	m	y	30	49	-	-	-	-	g/day	20	30	%E
fat	m	y	50	64	-	-	-	-	g/day	20	30	%E
fat	m	y	65	74	-	-	-	-	g/day	20	30	%E
fat	m	y	75	-	-	-	-	-	g/day	20	30	%E
fat	f	m	0	5	-	-	50	-	g/day	-	-	%E
fat	f	m	6	11	-	-	40	-	g/day	-	-	%E
fat	f	y	1	2	-	-	-	-	g/day	20	30	%E
fat	f	y	3	5	-	-	-	-	g/day	20	30	%E
